Name,Email,Sent Messages (Baseline),Received Messages (Baseline),Recipients in Sent Messages (Baseline),Bcc Recipients in Sent Messages (Baseline),Cc Recipients in Sent Messages (Baseline),Read Later (in hours) (Baseline),Days between Received and Read (Baseline),Replies to Messages (Baseline),Characters in Outgoing Messages (Baseline),Messages Outside Working Hours (Baseline),Received/Sent Ratio (Baseline),Bytes Received and Sent Ratio (Baseline),Unanswered Questions (Baseline),Sent Messages (Comparison),Received Messages (Comparison),Recipients in Sent Messages (Comparison),Bcc Recipients in Sent Messages (Comparison),Cc Recipients in Sent Messages (Comparison),Read Later (in hours) (Comparison),Days between Received and Read (Comparison),Replies to Messages (Comparison),Characters in Outgoing Messages (Comparison),Messages Outside Working Hours (Comparison),Received/Sent Ratio (Comparison),Bytes Received and Sent Ratio (Comparison),Unanswered Questions (Comparison),Probability of Leaving
John Arroyo,holtamanda@example.net,328,197,6,3,4,3,6,22,319,0,1.948887946207249,1.3120767413481382,3,368,190,2,4,0,4,3,13,321,5,1.4219603196951878,1.9063114937895302,0,0
Brian Malone,jacksonkelly@example.org,304,204,14,3,2,0,6,22,311,7,0.8017068492206678,1.7854077834996265,0,321,195,3,0,2,2,6,6,267,0,0.6177417022941323,1.1738834731260814,1,0
Lisa Townsend,ryanrocha@example.net,282,178,10,1,3,0,4,11,321,8,1.0724229901641387,1.774120305344388,2,381,192,9,4,0,2,4,17,313,1,1.5589192633261202,0.9287476804863469,4,1
Sherri Kramer,julie97@example.org,314,163,10,3,2,7,1,20,305,7,1.0198194065329815,0.7387997071788553,3,342,182,3,4,0,1,3,15,368,5,1.9513597407263146,1.6398173544303691,2,1
Bradley Park,patriciaramirez@example.org,312,157,9,0,2,1,3,7,300,2,1.3464432812261387,1.6124923703424565,1,313,240,9,3,0,2,6,18,350,6,1.7063616283655245,1.854079135769361,3,1
Samantha Hayes,ryanrivera@example.com,313,172,8,2,0,2,1,10,225,4,1.199921998678877,0.8850423664894809,1,351,173,7,2,1,8,4,10,272,4,0.7107699575958106,1.3467301630770008,0,1
Jason Nixon,johnsonjoseph@example.net,326,193,11,1,4,6,3,29,300,3,1.2271832208118518,1.6097002610996514,4,298,217,7,0,0,7,6,25,241,7,1.7197666817787007,1.3173536390662561,0,0
Christopher Wise,jennifer50@example.net,288,174,1,4,0,3,5,28,366,0,1.0196515272169153,1.1921621362364743,0,333,182,6,4,2,6,5,10,316,2,0.7561181762496842,1.7133491640193688,0,0
Brian Johnson,veronica42@example.com,322,142,11,1,4,0,6,3,235,8,0.8288615459733292,1.3707533171886026,2,209,260,7,0,3,3,2,12,228,8,1.7123599063119432,1.7862588969779958,1,0
Ashley Thomas,robert49@example.org,271,219,10,3,0,6,1,23,338,0,1.6956029144081053,0.5356427412335267,2,243,236,5,3,3,3,5,10,229,2,1.2899785638042913,1.8430566198331064,0,1
Jennifer Wilkinson,erinjordan@example.net,321,165,9,4,1,2,5,7,321,3,1.437835408009386,0.8610194629677607,4,281,228,7,3,4,4,6,5,262,7,1.2276140948461074,0.7191709594023481,3,1
Stacey Wood,brandyyang@example.org,340,259,5,4,2,6,3,5,329,0,1.5888532910785658,1.1655146755982402,4,269,238,14,4,4,5,1,19,290,1,1.3267461519226085,1.2824307699341286,1,0
Alexander Stone,alison94@example.org,360,224,14,0,1,9,5,18,322,2,0.9758593968411554,1.5825523568350603,1,312,215,4,4,2,5,5,17,270,9,1.0315643234618048,1.7702649118589444,2,1
Deborah Davis,nicholsonjohn@example.net,350,189,12,4,4,0,2,7,276,7,0.9266541864403615,0.8249293324514031,3,265,155,6,4,2,3,1,25,294,9,0.7697245063875484,0.9450356990464646,0,0
Regina Pollard,paul39@example.com,390,162,8,0,3,1,2,11,287,4,1.0303147315268766,1.333467373068742,0,385,131,4,3,2,5,6,5,352,9,1.6412603554881762,1.02481092733978,3,0
Tom Tran,wcalderon@example.com,371,198,1,2,3,1,2,1,264,8,1.7165415351714544,1.0513412615985809,0,393,174,7,3,2,3,5,12,187,4,1.8494849141610465,0.6617848125956234,0,1
Sharon Kelly,john15@example.org,346,184,1,2,4,7,6,17,297,3,0.9650865359923073,1.828208723291166,3,191,225,13,2,2,0,5,7,255,3,0.5516723101796175,1.7826593554012844,2,0
Nancy Allen,jesus26@example.net,371,187,2,0,3,1,2,1,258,3,0.5273597853453893,1.729365630325627,4,380,255,12,3,4,5,3,17,345,7,1.3181014976983287,1.9563251088493765,1,1
Aaron Wilkinson,elizabeth11@example.com,302,216,12,3,3,9,4,27,304,5,1.3813112362260602,0.6425625161096487,2,254,243,3,3,2,5,4,11,329,9,1.4663734991208153,1.1631468312982527,2,0
Patrick Pope,erinlopez@example.net,366,163,13,1,2,0,6,11,260,8,0.8996740679142119,1.5091189236079083,0,275,216,7,3,1,0,6,14,268,3,1.7541374585649914,1.5338890630394864,4,0
Matthew Howard,alan69@example.org,316,166,8,3,1,4,4,12,311,3,1.2294454072112768,1.4932989934255367,1,286,193,4,4,4,9,5,25,157,1,1.8134362913444753,0.7269549860003433,1,0
Jared Roberson,ujohnson@example.com,196,210,3,1,2,3,4,15,333,6,0.5923167386781103,1.1865531922828225,2,322,174,7,2,1,1,3,20,343,4,1.4912429395049553,0.8968517181796901,1,0
Tammy Garcia,dzamora@example.com,316,178,9,0,3,6,4,1,211,7,1.7089333394748951,1.2524531756522694,0,243,190,1,3,0,6,1,22,347,5,1.7006975066667365,0.9843699495002829,0,0
Alan Spencer,landrykenneth@example.com,325,226,4,0,2,4,4,11,294,3,1.0629200817395237,1.7674822052737276,2,339,209,12,1,0,6,1,18,336,6,1.0260761488535763,1.6624172187032484,2,1
Mary Stevens,lorischneider@example.com,281,211,11,4,0,7,5,4,259,6,1.364087925922467,1.7048711103454477,2,376,203,6,0,2,6,6,10,289,5,1.0479502418018924,1.8697629112283716,3,0
Randy Chavez,jenkinsbrenda@example.com,289,218,13,2,4,2,3,0,408,6,1.269730266086908,1.7495130775346734,0,263,227,8,1,0,5,5,18,313,3,0.9900832530819763,0.8863399618199929,1,1
Angela Jenkins,davidhahn@example.org,257,183,1,3,4,8,1,5,226,6,1.7075696087966523,1.6940267586335678,4,364,231,3,4,3,3,5,0,252,6,1.8468684796753767,1.9284216396134584,4,0
Christopher Kane,meganherring@example.net,277,233,10,1,3,9,1,8,329,7,0.517487559516914,0.9289947224024427,3,435,259,1,1,2,1,5,17,299,2,0.8882262801394036,1.4028995178866006,4,0
Sarah Gibbs,wmcclain@example.net,352,201,7,2,3,2,4,5,234,0,1.0055035859396706,0.5532526775620734,0,289,222,7,2,3,6,6,1,299,9,0.8188970886768361,1.8258059163457532,3,1
Donald Bender,garyacosta@example.com,253,140,2,1,4,9,2,10,397,6,1.6892911364576584,1.478454433054429,4,235,188,14,3,3,6,2,23,376,8,1.7632096406163658,1.9782958567136628,2,1
Joshua Miller,eparrish@example.com,262,198,10,3,4,5,6,15,273,8,1.815082664345479,0.9519974480214652,3,323,199,13,3,3,6,1,14,267,7,1.120394136818008,1.918247332180079,0,0
Anna Coleman,gcabrera@example.com,278,176,3,1,2,8,1,13,281,6,1.8499917510263906,1.2298258196220155,2,359,210,9,3,0,3,5,24,316,6,1.4091084613584575,1.6701929886133127,1,0
Stacie Higgins,gregorylawrence@example.com,244,216,12,3,0,1,1,14,228,0,0.8657129426440902,1.8788923098047026,0,245,216,10,2,4,6,5,28,326,5,1.4126441166434835,1.2426408256204815,2,0
